                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     47,                 0.7569,                0.68538,                0.95496,                0.91847,                0.84644,                0.89878,                0.76485,                0.98133,                 1.4429,                0.99044,               0.007723,               0.007723,               0.007723
                     48,                0.83509,                 0.7355,                 1.0045,                0.90518,                0.89454,                0.94225,                0.72174,                 1.0448,                 1.2549,                0.97099,              0.0076735,              0.0076735,              0.0076735
                     49,                0.77785,                0.68951,                0.96136,                0.86152,                 0.6709,                0.81703,                0.64599,                 1.0135,                  1.393,                0.96572,               0.007624,               0.007624,               0.007624
                     50,                0.76306,                0.67604,                0.95046,                0.87783,                0.82347,                0.89366,                0.72869,                 1.0297,                 1.4585,                0.95826,              0.0075745,              0.0075745,              0.0075745
                     51,                0.72706,                0.70841,                0.94224,                0.85391,                0.84634,                0.90305,                 0.6953,                 1.1251,                 1.8661,                0.98918,               0.007525,               0.007525,               0.007525
                     52,                0.75044,                0.68979,                0.96357,                0.75012,                0.88219,                0.93548,                0.72356,                0.96818,                 1.0251,                0.94783,              0.0074755,              0.0074755,              0.0074755
                     53,                 0.7645,                0.65866,                0.94469,                0.85631,                 0.8995,                0.96167,                0.80452,                0.91789,                0.91975,                0.93412,               0.007426,               0.007426,               0.007426
                     54,                0.72317,                0.68787,                0.94483,                0.73256,                0.81311,                0.90266,                0.72713,                 1.0788,                 1.2265,                  0.994,              0.0073765,              0.0073765,              0.0073765
                     55,                0.74611,                0.66996,                0.91971,                0.86921,                0.88139,                0.93398,                0.77534,                 0.9865,                 1.4206,                0.95967,               0.007327,               0.007327,               0.007327
                     56,                0.73497,                0.66231,                0.95432,                0.88168,                0.59322,                0.91411,                0.67539,                 1.0662,                 1.9819,                0.96375,              0.0072775,              0.0072775,              0.0072775
                     57,                0.73668,                0.64903,                0.94024,                  0.843,                0.89538,                0.89646,                0.68185,                 1.0966,                  2.023,                0.98606,               0.007228,               0.007228,               0.007228
                     58,                0.71578,                0.61355,                0.92983,                0.64523,                0.72222,                0.64733,                0.43809,                  1.044,                 2.3937,                0.97695,              0.0071785,              0.0071785,              0.0071785
                     59,                0.75627,                0.62846,                0.97905,                0.77508,                0.75202,                 0.8426,                0.60155,                 1.0954,                 1.3837,                0.95847,               0.007129,               0.007129,               0.007129
                     60,                0.73622,                0.65512,                0.97249,                 0.8154,                0.74914,                0.88719,                 0.6241,                 1.1927,                 1.1685,                0.99671,              0.0070795,              0.0070795,              0.0070795
                     61,                0.75725,                0.68553,                 0.9443,                0.83888,                0.76011,                0.88698,                0.61384,                  1.097,                 1.1919,                0.97048,                0.00703,                0.00703,                0.00703
                     62,                 0.7131,                 0.6428,                0.96288,                 0.9252,                0.69993,                0.80543,                0.56719,                  1.157,                 1.3548,                0.97583,              0.0069805,              0.0069805,              0.0069805
                     63,                0.77483,                0.69324,                0.95724,                0.96607,                0.72222,                0.77518,                 0.5773,                 1.1258,                 1.2679,                0.98415,               0.006931,               0.006931,               0.006931
                     64,                 0.7327,                0.64929,                0.93345,                0.78051,                0.77778,                0.82341,                 0.6259,                 1.0522,                 1.1897,                0.94508,              0.0068815,              0.0068815,              0.0068815
                     65,                0.74018,                0.61489,                 0.9204,                0.86369,                0.72222,                0.83434,                0.62509,                  1.048,                 1.1443,                0.95306,               0.006832,               0.006832,               0.006832
                     66,                0.68482,                0.56304,                0.92583,                0.85968,                0.89608,                0.96628,                0.74988,                  1.028,                0.95114,                0.94957,              0.0067825,              0.0067825,              0.0067825
                     67,                0.73006,                0.60985,                0.96225,                0.94024,                0.79217,                 0.9327,                0.74501,                0.99904,                 1.1659,                0.95223,               0.006733,               0.006733,               0.006733
                     68,                0.78087,                0.66344,                0.94398,                 0.8617,                0.94444,                0.91617,                 0.7293,                0.97107,                 1.1816,                0.94143,              0.0066835,              0.0066835,              0.0066835
                     69,                0.74926,                 0.6109,                0.94437,                0.88927,                0.88858,                0.94231,                 0.7674,                0.95501,                 1.3885,                0.94206,               0.006634,               0.006634,               0.006634
                     70,                 0.6966,                0.60632,                0.93087,                0.79419,                0.92792,                0.92607,                0.65675,                 1.0872,                 1.4572,                0.97775,              0.0065845,              0.0065845,              0.0065845
                     71,                0.64697,                0.56762,                0.90708,                0.76495,                0.90069,                0.91521,                0.61224,                 1.3782,                 1.5744,                 1.0665,               0.006535,               0.006535,               0.006535
                     72,                0.62831,                0.60198,                0.89448,                0.70541,                0.77778,                0.79882,                0.64435,                 1.1046,                 1.9847,                 1.0051,              0.0064855,              0.0064855,              0.0064855
                     73,                0.64244,                0.58717,                0.92161,                0.74839,                0.86638,                0.87742,                0.70608,                 1.1106,                 1.3359,                0.98047,               0.006436,               0.006436,               0.006436
                     74,                0.67458,                0.55315,                0.92273,                0.79272,                0.87932,                0.85755,                0.66758,                 1.1133,                0.89808,                 1.0066,              0.0063865,              0.0063865,              0.0063865
                     75,                 0.6762,                0.56889,                 0.9086,                0.75993,                0.88889,                0.87057,                0.66804,                 1.0974,                 1.4325,                0.96331,               0.006337,               0.006337,               0.006337
                     76,                 0.6699,                0.58915,                0.92279,                0.86952,                0.64779,                 0.8084,                 0.5811,                  1.106,                 1.5595,                0.94542,              0.0062875,              0.0062875,              0.0062875
                     77,                 0.6612,                0.58838,                0.91582,                0.78973,                0.65457,                0.79561,                0.59673,                 1.0394,                 1.1978,                0.95715,               0.006238,               0.006238,               0.006238
                     78,                0.67454,                0.55924,                0.93021,                0.65868,                0.93322,                0.83221,                0.67073,                 1.0242,                0.80818,                0.96881,              0.0061885,              0.0061885,              0.0061885
                     79,                0.62102,                0.55238,                0.89234,                0.88296,                0.88484,                0.93344,                0.73148,                 1.0417,                0.72788,                 0.9544,               0.006139,               0.006139,               0.006139
                     80,                0.67136,                0.59686,                0.92522,                0.94053,                0.72222,                0.84372,                0.67068,                 1.0325,                0.99019,                0.94295,              0.0060895,              0.0060895,              0.0060895
                     81,                0.63928,                 0.5467,                0.91367,                0.87425,                0.72222,                 0.8173,                0.65461,                0.95111,                 1.1518,                0.91978,                0.00604,                0.00604,                0.00604
                     82,                0.60679,                0.53122,                0.90694,                0.93501,                0.66667,                0.79689,                0.60962,                0.98309,                 1.3889,                0.92516,              0.0059905,              0.0059905,              0.0059905
                     83,                0.63317,                0.53083,                0.89046,                0.89993,                0.72222,                0.88347,                0.71399,                0.91299,                 1.2169,                0.91044,               0.005941,               0.005941,               0.005941
                     84,                0.63209,                0.52882,                0.91294,                0.88323,                0.81713,                  0.953,                0.73202,                0.94128,                 1.2746,                0.92252,              0.0058915,              0.0058915,              0.0058915
                     85,                0.60433,                0.52301,                0.89693,                0.92356,                0.77778,                0.89461,                0.70589,                  1.011,                 1.3278,                0.94386,               0.005842,               0.005842,               0.005842
                     86,                0.60787,                0.50947,                0.88953,                0.81878,                0.76412,                0.87629,                0.67357,                 0.9882,                 1.4099,                0.92324,              0.0057925,              0.0057925,              0.0057925
                     87,                0.66266,                0.53422,                0.89758,                0.81039,                 0.7266,                0.87856,                0.68769,                 1.0077,                 1.1407,                0.92039,               0.005743,               0.005743,               0.005743
                     88,                 0.6557,                0.58626,                0.92513,                0.85653,                0.67794,                0.79673,                 0.6337,                0.94151,                 1.3514,                0.89591,              0.0056935,              0.0056935,              0.0056935
                     89,                0.62277,                0.51159,                 0.8872,                0.93839,                0.83333,                0.90396,                0.75874,                0.91564,                 1.1214,                0.88432,               0.005644,               0.005644,               0.005644
                     90,                0.63079,                0.54623,                0.90694,                0.93653,                0.78241,                0.92948,                0.71936,                0.91291,                  1.173,                0.89343,              0.0055945,              0.0055945,              0.0055945
                     91,                 0.6635,                 0.5898,                0.95361,                0.94579,                0.88086,                0.92245,                0.67914,                0.93305,                0.97241,                0.92964,               0.005545,               0.005545,               0.005545
                     92,                0.61564,                0.54281,                0.92174,                0.84899,                0.73311,                0.76745,                0.59441,                0.94988,                 1.1316,                0.93077,              0.0054955,              0.0054955,              0.0054955
                     93,                 0.6223,                0.50376,                0.88208,                0.94857,                0.65931,                0.77635,                0.60647,                0.87632,                 1.3321,                0.89249,               0.005446,               0.005446,               0.005446
                     94,                0.62615,                0.54196,                0.90257,                0.73578,                0.77778,                0.81249,                0.69223,                0.86117,                 1.5035,                0.89118,              0.0053965,              0.0053965,              0.0053965
                     95,                0.60546,                0.53855,                0.88699,                0.64503,                0.88889,                0.91486,                0.80421,                0.77484,                  1.023,                0.85452,               0.005347,               0.005347,               0.005347
                     96,                0.64917,                0.53238,                0.90052,                0.74274,                0.83333,                0.85332,                0.72554,                0.80204,                 1.4903,                0.87079,              0.0052975,              0.0052975,              0.0052975
                     97,                 0.6324,                0.53882,                 0.9064,                0.90109,                0.70684,                 0.8699,                0.72029,                0.79304,                  1.119,                0.86362,               0.005248,               0.005248,               0.005248
                     98,                0.63637,                0.53293,                0.92155,                0.94454,                0.67465,                0.88903,                0.73096,                0.82984,                0.98601,                0.89001,              0.0051985,              0.0051985,              0.0051985
                     99,                 0.5903,                0.51243,                0.88515,                 0.9329,                0.68675,                0.89036,                 0.6819,                0.96678,                0.96971,                 0.9147,               0.005149,               0.005149,               0.005149
                    100,                0.64891,                0.54741,                0.91423,                0.84443,                0.93073,                0.93298,                0.76717,                 1.0217,                 1.0889,                0.94377,              0.0050995,              0.0050995,              0.0050995
                    101,                0.60301,                0.52205,                0.90484,                0.85421,                 0.7289,                0.85904,                0.70086,                0.94909,                 1.2965,                0.91836,                0.00505,                0.00505,                0.00505
                    102,                0.62138,                0.53226,                0.91599,                 0.8328,                0.72222,                0.80871,                 0.6369,                0.99007,                 1.3361,                0.91041,              0.0050005,              0.0050005,              0.0050005
                    103,                0.57757,                0.47506,                0.87997,                0.69499,                0.72222,                0.79855,                0.64656,                0.91295,                 1.4347,                0.90657,               0.004951,               0.004951,               0.004951
                    104,                0.59952,                0.49255,                0.91706,                0.84389,                0.70225,                 0.8615,                 0.6935,                  0.974,                  1.273,                0.93494,              0.0049015,              0.0049015,              0.0049015
                    105,                0.57824,                0.48111,                0.90038,                0.95192,                0.89402,                0.94339,                0.74528,                0.97833,                 1.1926,                0.93517,               0.004852,               0.004852,               0.004852
                    106,                0.58724,                 0.5055,                0.88337,                0.95105,                0.93955,                0.94314,                0.75407,                 0.8664,                0.76932,                0.88387,              0.0048025,              0.0048025,              0.0048025
                    107,                0.55623,                  0.454,                0.86526,                0.96686,                0.94444,                0.94785,                0.74243,                0.98824,                0.80261,                0.91612,               0.004753,               0.004753,               0.004753
                    108,                0.55315,                0.50202,                0.87159,                0.94255,                0.93707,                0.95073,                0.75252,                0.96635,                0.76645,                0.91039,              0.0047035,              0.0047035,              0.0047035
                    109,                0.53529,                0.43633,                0.86802,                0.86248,                0.92999,                0.93401,                0.75319,                0.97218,                0.98075,                0.91555,               0.004654,               0.004654,               0.004654
